timestamp,cpu_usage,cpu_freq_mhz,ram_usage,available_ram
2025-02-01 16:52:32,2.3,700.0,46.8,226
2025-02-01 16:52:34,1.3,600.0,47.5,223
2025-02-01 16:52:36,25.2,1000.0,46.9,226
2025-02-01 16:52:38,1.8,600.0,47.1,225
2025-02-01 16:52:40,1.3,600.0,47.9,221
2025-02-01 16:52:42,1.3,700.0,46.9,225
2025-02-01 16:52:44,1.0,600.0,47.6,222
2025-02-01 16:52:46,27.7,1000.0,46.9,225
2025-02-01 16:52:48,1.5,600.0,47.3,224
2025-02-01 16:52:50,1.8,600.0,48.0,221
2025-02-01 16:52:52,5.8,700.0,46.9,225
2025-02-01 16:52:54,0.8,600.0,47.4,224
2025-02-01 16:52:56,21.6,1000.0,46.9,225
2025-02-01 16:52:58,3.0,600.0,47.2,224
2025-02-01 16:53:00,1.3,600.0,47.9,221
2025-02-01 16:53:02,4.1,600.0,47.0,225
2025-02-01 16:53:04,0.8,600.0,47.7,222
2025-02-01 16:53:06,52.1,1000.0,47.0,225
2025-02-01 16:53:08,1.8,700.0,47.3,224
2025-02-01 16:53:10,1.3,700.0,48.4,219
2025-02-01 16:53:12,70.5,1000.0,47.3,224
2025-02-01 16:53:14,0.8,600.0,47.6,222
2025-02-01 16:53:16,33.4,1000.0,47.4,224
2025-02-01 16:53:18,18.9,600.0,47.4,223
2025-02-01 16:53:20,1.3,600.0,47.9,221
2025-02-01 16:53:22,65.3,1000.0,47.5,223
2025-02-01 16:53:24,48.5,1000.0,47.7,222
2025-02-01 16:53:26,0.0,600.0,48.5,219
2025-02-01 16:53:28,84.8,1000.0,47.5,223
2025-02-01 16:53:30,6.2,600.0,47.9,221
2025-02-01 16:53:32,1.0,600.0,48.8,217
2025-02-01 16:53:34,52.3,1000.0,47.6,223
2025-02-01 16:53:36,0.8,600.0,47.9,221
2025-02-01 16:53:38,33.2,1000.0,47.6,223
2025-02-01 16:53:40,2.6,700.0,47.7,222
2025-02-01 16:53:42,0.8,600.0,48.1,221
2025-02-01 16:53:44,19.6,1000.0,47.6,223
2025-02-01 16:53:46,0.8,600.0,48.1,221
2025-02-01 16:53:48,24.7,1000.0,47.6,223
2025-02-01 16:53:50,1.3,600.0,47.8,222
2025-02-01 16:53:52,1.3,600.0,48.8,218
2025-02-01 16:53:54,88.2,1000.0,47.7,222
2025-02-01 16:53:56,0.8,600.0,47.1,225
2025-02-01 16:53:58,2.3,600.0,48.7,218
2025-02-01 16:54:00,34.3,1000.0,46.8,226
2025-02-01 16:54:02,0.5,600.0,47.9,221
2025-02-01 16:54:04,59.5,1000.0,47.0,225
2025-02-01 16:54:06,26.0,1000.0,47.3,224
2025-02-01 16:54:08,1.0,600.0,48.4,219
2025-02-01 16:54:10,78.6,1000.0,47.1,225
2025-02-01 16:54:12,40.6,1000.0,47.7,222
2025-02-01 16:54:14,1.5,600.0,49.3,215
2025-02-01 16:54:16,62.0,1000.0,47.3,224
2025-02-01 16:54:18,16.3,1000.0,47.9,221
2025-02-01 16:54:20,35.0,1000.0,47.3,224
2025-02-01 16:54:22,27.0,700.0,47.3,224
2025-02-01 16:54:24,1.0,600.0,48.2,220
2025-02-01 16:54:26,56.8,1000.0,47.3,224
2025-02-01 16:54:28,15.7,1000.0,47.4,223
2025-02-01 16:54:30,0.3,600.0,48.5,219
2025-02-01 16:54:32,84.8,1000.0,47.4,223
2025-02-01 16:54:34,21.9,1000.0,47.6,223
2025-02-01 16:54:36,1.0,600.0,49.2,216
2025-02-01 16:54:38,86.0,1000.0,47.4,223
2025-02-01 16:54:40,18.8,600.0,47.9,221
2025-02-01 16:54:42,1.5,600.0,49.7,214
2025-02-01 16:54:44,52.9,1000.0,47.4,224
2025-02-01 16:54:46,0.3,600.0,48.3,220
2025-02-01 16:54:48,29.8,1000.0,47.4,223
2025-02-01 16:54:50,11.6,700.0,47.4,223
2025-02-01 16:54:52,1.0,600.0,47.3,224
2025-02-01 16:54:54,68.1,1000.0,46.3,228
2025-02-01 16:54:56,28.4,1000.0,46.4,228
2025-02-01 16:54:58,0.3,600.0,47.8,222
2025-02-01 16:55:00,89.4,1000.0,46.7,227
2025-02-01 16:55:02,28.7,600.0,46.9,225
2025-02-01 16:55:04,1.0,600.0,48.5,219
2025-02-01 16:55:06,74.4,1000.0,46.8,226
2025-02-01 16:55:08,1.0,600.0,47.3,224
2025-02-01 16:55:10,0.8,600.0,48.7,218
2025-02-01 16:55:12,2.1,600.0,47.1,225
2025-02-01 16:55:14,1.8,600.0,48.0,221
2025-02-01 16:55:16,50.8,1000.0,47.1,225
2025-02-01 16:55:18,0.5,600.0,47.4,223
2025-02-01 16:55:20,6.9,1000.0,47.1,225
2025-02-01 16:55:22,25.6,1000.0,46.2,229
2025-02-01 16:55:24,0.8,700.0,46.9,225
2025-02-01 16:55:26,76.2,1000.0,46.2,229
2025-02-01 16:55:28,18.7,1000.0,46.6,227
2025-02-01 16:55:30,1.0,600.0,48.1,220
